"game_id","team","start_zone","player","count","mean_x","mean_y"
3,"home",11,"Edinson
Cavani",5,5596.5,3473.55
3,"home",11,"Muhamed
Ronaldo",4,6276.375,3324.375
3,"home",11,"Sergio
Umtiti",3,6401.5,2866.5
3,"home",11,"Samuel
Pogba",1,5848.5,2430
3,"home",11,"Paul
Ramos",16,5793.375,3385.125
3,"home",11,"Christiano
De Bruyne",1,5796,4320
3,"home",11,"Christiano
Cavani",1,6961.5,3435.75
3,"home",11,"Antoine
Umtiti",3,6149.5,3786.75
3,"home",11,"Muhamed
Salah",2,6048,3175.875
3,"home",11,"Kevin
Bale",2,5643.75,3024
3,"home",12,"Edinson
Cavani",1,5964,452.25
3,"home",12,"Sergio
Umtiti",10,6335.7,1117.8
3,"home",12,"Samuel
Pogba",5,6321,368.55
3,"home",12,"Paul
Ramos",6,6209,1158.75
3,"home",12,"Christiano
Cavani",2,5486.25,860.625
3,"home",12,"Samuel
Ramos",18,6364.16666666667,767.25
3,"home",12,"Antoine
Umtiti",4,5840.625,1739.8125
3,"home",12,"Kevin
Bale",3,6135.5,803.25
3,"home",13,"Edinson
Cavani",5,7746.9,5428.35
3,"home",13,"Muhamed
Ronaldo",4,7662.375,5383.125
3,"home",13,"Sergio
Umtiti",7,7615.5,5201.35714285714
3,"home",13,"Paul
Ramos",1,8011.5,6135.75
3,"home",13,"Christiano
De Bruyne",6,7693,5896.125
3,"home",13,"Kevin
Ramos",12,7700,5769
3,"home",13,"Antoine
Umtiti",3,7605.5,5152.5
3,"home",13,"Muhamed
Salah",4,7846.125,5681.8125
3,"home",13,"Kevin
Bale",4,7788.375,5168.8125
3,"home",14,"Edinson
Cavani",13,7883.88461538462,3528.17307692308
3,"home",14,"Muhamed
Ronaldo",5,7633.5,3599.1
3,"home",14,"Sergio
Umtiti",6,7553,3440.25
3,"home",14,"Paul
Ramos",6,7213.5,3853.125
3,"home",14,"Antoine
Umtiti",3,7605.5,3249
3,"home",14,"Muhamed
Salah",3,7829.5,3665.25
3,"home",14,"Kevin
Bale",1,7224,4104
3,"home",15,"Edinson
Cavani",6,7925.75,1747.125
3,"home",15,"Sergio
Umtiti",5,7694.4,1128.6
3,"home",15,"Samuel
Pogba",12,7877.625,505.6875
3,"home",15,"Paul
Ramos",2,7549.5,2112.75
3,"home",15,"Samuel
Ramos",14,7591.5,643.660714285714
3,"home",15,"Antoine
Umtiti",2,7292.25,1485
3,"home",15,"Leo
Cavani",1,7875,992.25
3,"home",15,"Muhamed
Salah",8,7707,820.125
3,"home",15,"Kevin
Bale",3,7581,598.5
3,"home",16,"Edinson
Cavani",3,9380,5589
3,"home",16,"Muhamed
Ronaldo",3,9390.5,5798.25
3,"home",16,"Sergio
Umtiti",4,9408,5676.75
3,"home",16,"Kevin
Ramos",18,9357.83333333333,6122.625
3,"home",16,"Kevin
Bale",3,9523.5,5769
3,"home",17,"Edinson
Cavani",1,8862,4461.75
3,"home",17,"Muhamed
Ronaldo",1,9355.5,4401
3,"home",17,"Samuel
Pogba",1,9628.5,2450.25
3,"home",17,"Christiano
Cavani",1,9145.5,2598.75
3,"home",17,"Kevin
Ramos",1,9481.5,3786.75
3,"home",17,"Muhamed
Salah",5,9506.7,3581.55
3,"home",18,"Edinson
Cavani",6,9651.25,1220.625
3,"home",18,"Sergio
Umtiti",2,9297.75,303.75
3,"home",18,"Samuel
Pogba",6,9702,884.25
3,"home",18,"Christiano
De Bruyne",1,9607.5,1748.25
3,"home",18,"Samuel
Ramos",3,9229.5,1041.75
3,"home",18,"Leo
Cavani",2,9376.5,1080
3,"home",18,"Muhamed
Salah",1,10132.5,823.5
3,"home",18,"Kevin
Bale",2,10284.75,1657.125
2,"away",1,"Paul
Salah",3,1078,4914
2,"away",1,"Antoine
Griezmann",1,1071,4698
2,"away",1,"Samuel
Salah",4,800.625,6552.5625
2,"away",1,"Kevin
Ronaldo",1,1554,6493.5
2,"away",2,"Paul
Salah",1,1722,3631.5
2,"away",2,"Leo
Messi",20,955.5,3066.525
2,"away",2,"Samuel
Salah",1,1281,4077
2,"away",3,"Antoine
Griezmann",1,871.5,1296
2,"away",3,"Sergio
Ronaldo",2,1044.75,857.25
2,"away",3,"Sergio
Bale",1,1470,2119.5
2,"away",3,"Leo
Messi",3,1606.5,2058.75
2,"away",4,"Antoine
Pogba",1,3454.5,6007.5
2,"away",4,"Paul
Salah",9,3061.33333333333,5337
2,"away",4,"Muhamed
Messi",1,3034.5,6345
2,"away",4,"Samuel
Bale",2,2908.5,5089.5
2,"away",4,"Sergio
Bale",1,3055.5,4785.75
2,"away",4,"Samuel
Salah",6,2808.75,6397.875
2,"away",4,"Christiano
Pogba",2,3239.25,5751
2,"away",4,"Kevin
Ronaldo",2,3055.5,6291
2,"away",5,"Kevin
Messi",2,3066,3432.375
2,"away",5,"Antoine
Pogba",2,2504.25,3375
2,"away",5,"Paul
Salah",1,2383.5,2781
2,"away",5,"Antoine
Griezmann",1,3076.5,3759.75
2,"away",5,"Samuel
Bale",2,2761.5,3594.375
2,"away",5,"Paul
Griezmann",2,3333.75,3618
2,"away",5,"Sergio
Bale",1,2877,3287.25
2,"away",5,"Leo
Messi",2,2052.75,2997
2,"away",5,"Kevin
Ronaldo",1,3465,2801.25
2,"away",6,"Antoine
Pogba",2,2913.75,1269
2,"away",6,"Paul
Salah",1,3171,1883.25
2,"away",6,"Sergio
Ronaldo",5,2727.9,649.35
2,"away",6,"Sergio
Bale",4,2785.125,963.5625
2,"away",6,"Christiano
Pogba",1,3055.5,1620
2,"away",7,"Kevin
Messi",1,4336.5,5845.5
2,"away",7,"Antoine
Pogba",3,4588.5,5334.75
2,"away",7,"Paul
Salah",3,4599,4974.75
2,"away",7,"Antoine
Griezmann",8,4528.125,5086.96875
2,"away",7,"Samuel
Bale",5,4565.4,5405.4
2,"away",7,"Paul
Griezmann",2,4305,4934.25
2,"away",7,"Sergio
Bale",1,3927,6277.5
2,"away",7,"Samuel
Salah",6,4347,6104.25
2,"away",7,"Kevin
Ronaldo",2,3696,5450.625
2,"away",8,"Kevin
Messi",1,4357.5,2268
2,"away",8,"Paul
Salah",6,4179,3165.75
2,"away",8,"Antoine
Griezmann",2,4331.25,3452.625
2,"away",8,"Paul
Griezmann",2,4478.25,3314.25
2,"away",8,"Sergio
Bale",5,4244.1,3154.95
2,"away",9,"Antoine
Pogba",6,4361,1153.125
2,"away",9,"Paul
Salah",2,4399.5,1684.125
2,"away",9,"Leo
Griezmann",4,4449.375,572.0625
2,"away",9,"Antoine
Griezmann",4,4289.25,1922.0625
2,"away",9,"Samuel
Bale",1,4945.5,1802.25
2,"away",9,"Sergio
Ronaldo",14,4314.75,635.464285714286
2,"away",9,"Paul
Griezmann",3,4315.5,1552.5
2,"away",9,"Sergio
Bale",11,4464.40909090909,1104.54545454545
2,"away",9,"Christiano
Pogba",3,4238.5,1595.25
2,"away",10,"Kevin
Messi",4,5974.5,6061.5
2,"away",10,"Antoine
Pogba",3,6037.5,6009.75
2,"away",10,"Paul
Salah",2,5890.5,5234.625
2,"away",10,"Leo
Griezmann",2,5979.75,6118.875
2,"away",10,"Antoine
Griezmann",7,6250.5,5366.25
2,"away",10,"Muhamed
Messi",2,5775,4971.375
2,"away",10,"Samuel
Bale",7,6034.5,5541.75
2,"away",10,"Samuel
Salah",11,6044.18181818182,5919.75
2,"away",10,"Kevin
Ronaldo",3,6118,6351.75
2,"away",11,"Kevin
Messi",3,6090,3755.25
2,"away",11,"Antoine
Pogba",3,5656,3406.5
2,"away",11,"Paul
Salah",1,5407.5,3948.75
2,"away",11,"Antoine
Griezmann",8,5948.25,3039.1875
2,"away",11,"Samuel
Bale",1,6604.5,4482
2,"away",11,"Paul
Griezmann",5,6171.9,3365.55
2,"away",11,"Sergio
Bale",2,6011.25,3486.375
2,"away",11,"Samuel
Salah",1,5628,3942
2,"away",11,"Christiano
Pogba",1,6153,4441.5
2,"away",12,"Antoine
Pogba",1,6657,1728
